"Back 1n Black" "KR"
"Prelude in C" "EUW"
"MVP Max" "KR"
"BukZacH" "NA"
"Doublelift" "NA"
"미안해난경찰이야" "KR"
"너와나의연결Gori" "KR"
"Son of Secret" "KR"
"FlyQ Hai" "NA"
"DopaSenKer" "NA"
"별여름봄" "KR"
"XueGao" "NA"
"Brother Dyrus" "NA"
"nukeduck S8" "EUW"
"0oo0ooOoo" "KR"
"Słash" "NA"
"잘하게씀미다" "KR"
"be small" "NA"
"길동이에유" "KR"
"원딜만보호한다" "KR"
"Hiro Hai" "EUW"
"SSG 유령" "KR"
"1onz" "NA"
"얼라이쁘" "KR"
"Easley" "NA"
"Cookie D Rookie" "EUW"
"Dubehavior" "NA"
"FW SwordArT" "KR"
"GL IM ZWAG" "NA"
"goldenglue" "NA"
"he  nan    yu" "KR"
"톡톡톡트로피카나" "KR"
"왕겜홍보대사" "KR"
"PROMlSCUOUS" "EUW"
"t d" "NA"
"hi paman" "KR"
"KitKatxz" "NA"
"KDM SSol" "KR"
"트와이스 원스" "KR"
"데쓰드래곤랑" "KR"
"Teamfighting" "NA"
"Pytangelus" "EUW"
"Pransie" "NA"
"Self denial" "KR"
"Strompest LFT" "NA"
"ablela" "KR"
"Huhi" "NA"
"ADzhaoq249060833" "KR"
"sssundayscome" "KR"
"baia baia" "NA"
"Peridot" "NA"
"ˇ QQ 1196255564" "EUW"
"And July" "NA"
"WundeRank1" "EUW"
"Ven R&uuml;" "EUW"
"킹노킹노의시야석" "KR"
"시공 여행자" "KR"
"Audi fans" "KR"
"이도류" "KR"
"Vincente" "NA"
"Paid By Steve" "NA"
"SKT T1 Bang" "KR"
"Strompest" "NA"
"나는 안 그래" "KR"
"Holy 21" "KR"
"Gland qui Daube" "EUW"
"G2 Perkz1" "EUW"
"love chocochino" "EUW"
"Sebekx" "EUW"
"WAR proxeYY" "EUW"
"it is destiny" "EUW"
"Tawnington" "NA"
"PixelPlaysYasuo" "EUW"
"Comp1" "EUW"
"furt wins" "EUW"
"Peanut" "KR"
"CN Ao" "KR"
"joong ki song" "NA"
"PrismaI" "NA"
"4994" "NA"
"Qissaruj" "NA"
"삼성갤럭시 Ru1er" "KR"
"uumut" "EUW"
"Stefan Nikolić" "EUW"
"Moot Zoravar" "EUW"
"Bociej" "EUW"
"fwii" "NA"
"Cr&Atilde;zY" "EUW"
"Gaow Gaiy" "NA"
"bad player hahah" "EUW"
"F&aacute;teF&aacute;lls" "NA"
"Faith in Myself" "NA"
"x6 Ninten" "EUW"
"Sh&oslash;walter" "NA"
"TLB Adrian Riven" "NA"
"Polish Talent" "EUW"
"HUSKSUPPE" "EUW"
"Brosak" "EUW"
"Descraton" "NA"
"wangchenggame" "KR"
"Pablo Escobar s8" "EUW"
"watercold" "NA"
"Eika1" "EUW"
"245 979" "NA"
"Hakuho" "NA"
"RI&ETH;&ETH;EM" "EUW"
"EloDaddy c&oslash;m" "NA"
"Delitto" "EUW"
"Ew Michelle" "NA"
"rhubarbs" "NA"
"JIN air Khan" "KR"
"cackdeus" "NA"
"Kıtten" "NA"
"UOL Hylissang" "EUW"
"AIca" "EUW"
"AchiIIes Heal" "NA"
"zoiren1" "EUW"
"PT sad but true" "EUW"
"GO Tonerre" "EUW"
"Manifest" "NA"
"Erry" "NA"
"shabudaba" "NA"
"mvsh" "NA"
"OhjUu" "EUW"
"CaillouX" "NA"
"Anivia Kid" "NA"
"xPriskornet" "EUW"
"mnesty247" "NA"
"eMz Monk" "EUW"
"1 baron" "NA"
"Werly to the B" "EUW"
"insan&iacute;ty" "NA"
"Ahigholive" "NA"
"Weeknd" "NA"
"Osam&aacute;" "NA"
"Yur1 Boyka" "NA"
"we gg na" "NA"
"rovex2" "NA"
"TSM Dopa senpai" "EUW"
"Pocket Rhino" "NA"
"KIYF Vardags" "EUW"
"Legend Never Die" "NA"
"Kruimel" "EUW"
"Warda1n" "EUW"
"MLGB Grae" "NA"
"Ji&atilde;" "NA"
"GimGoon" "KR"
"G2V Four" "EUW"
"Albetrayber" "EUW"
"Longzhu Khan" "EUW"
"FOX Brandini" "NA"
"Amazingx" "EUW"
"HadeSShadeS" "EUW"
"Vrow" "EUW"
"DG BacaC&oacute;rnio" "EUW"
"432112312" "EUW"
"WELOSETOIMPROVE" "EUW"
"Wr&acirc;th" "EUW"
"x6 Svikter" "EUW"
"MM Phones" "EUW"
"Ahostalyne" "EUW"
"E Girls DM me" "EUW"
"NilleNalley" "EUW"
"RANGERZXD" "EUW"
"schoolgymleague" "EUW"
"KoalaWith1Beret" "EUW"
"Dreamer Ace" "EUW"
"Average Yasuo" "EUW"
"M Fighter" "EUW"
"H2K Febiven" "EUW"
"ASUS PePii" "EUW"
"Tha Carter V" "EUW"
"jiiru" "EUW"
"kerber0s" "EUW"
"Tax3r" "EUW"
"noway2u" "EUW"
"x6 Mykilu" "EUW"
"Kikis" "EUW"
